DEBUG | 2019-06-19 17:24:11,991 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L1684015092):null
DEBUG | 2019-06-19 17:24:11,991 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:6:L1684015092
DEBUG | 2019-06-19 17:24:11,991 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L1684015092):null
DEBUG | 2019-06-19 17:24:11,991 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass3.InjectCodeTouchPointListener | Looking for jumps going to event(8):L146305349 
DEBUG | 2019-06-19 17:24:11,991 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:8:L1209669119
DEBUG | 2019-06-19 17:24:11,992 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L1209669119):null
DEBUG | 2019-06-19 17:24:11,992 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:8:L1209669119
DEBUG | 2019-06-19 17:24:11,992 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L1209669119):null
DEBUG | 2019-06-19 17:24:11,993 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass3.InjectCodeTouchPointListener | Looking for jumps going to event(10):L1686369710 
DEBUG | 2019-06-19 17:24:11,993 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:10:L2014866032
DEBUG | 2019-06-19 17:24:11,993 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L2014866032):null
DEBUG | 2019-06-19 17:24:11,993 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:10:L2014866032
DEBUG | 2019-06-19 17:24:11,993 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L2014866032):null
DEBUG | 2019-06-19 17:24:11,993 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass3.InjectCodeTouchPointListener | Looking for jumps going to event(11):L942518407 
DEBUG | 2019-06-19 17:24:11,993 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:11:L811760110
DEBUG | 2019-06-19 17:24:11,994 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L811760110):null
DEBUG | 2019-06-19 17:24:11,994 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:11:L811760110
DEBUG | 2019-06-19 17:24:11,994 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L811760110):null
DEBUG | 2019-06-19 17:24:12,002 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CoberturaInstrumenter | 
DEBUG | 2019-06-19 17:24:12,004 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CoberturaInstrumenter | Writing instrumented class into:C:\Users\lulu\git\yanxinGame\yanxin-parent\yanxin-framework\yanxin-eureka-register\target\generated-classes\cobertura\com\yanxin\eureka\register\ServiceRegistryApplication.class
INFO | 2019-06-19 17:24:12,027 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.coveragedata.CoverageDataFileHandler | Cobertura: Saved information on 1 classes.
INFO | 2019-06-19 17:24:12,035 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.coveragedata.CoverageDataFileHandler | Cobertura: Saved information on 1 classes.
DEBUG | 2019-06-19 17:24:12,036 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.InstrumentMain | Instrument time: 144ms
DEBUG | 2019-06-19 17:24:19,768 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CodeInstrumentationTask$LoggerWrapper | Instrumenting 1 file  to C:\Users\lulu\git\yanxinGame\yanxin-parent\yanxin-framework\yanxin-zuul\target\generated-classes\cobertura
DEBUG | 2019-06-19 17:24:19,772 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CodeInstrumentationTask$LoggerWrapper | Instrumenting: C:\Users\lulu\git\yanxinGame\yanxin-parent\yanxin-framework\yanxin-zuul\target\generated-classes\cobertura\com\yanxin\ZuulApplication.class to C:\Users\lulu\git\yanxinGame\yanxin-parent\yanxin-framework\yanxin-zuul\target\generated-classes\cobertura
DEBUG | 2019-06-19 17:24:19,772 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CoberturaInstrumenter | Instrumenting class C:\Users\lulu\git\yanxinGame\yanxin-parent\yanxin-framework\yanxin-zuul\target\generated-classes\cobertura\com\yanxin\ZuulApplication.class
DEBUG | 2019-06-19 17:24:19,772 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CoberturaInstrumenter | Working on file:C:\Users\lulu\git\yanxinGame\yanxin-parent\yanxin-framework\yanxin-zuul\target\generated-classes\cobertura\com\yanxin\ZuulApplication.class
DEBUG | 2019-06-19 17:24:19,803 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass1.DetectDuplicatedCodeClassVisitor | SIGNATURE:19:1:MI:183:java/lang/Object:<init>:()V;
DEBUG | 2019-06-19 17:24:19,803 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass1.DetectDuplicatedCodeClassVisitor | SIGNATURE:22:2:LDC:Lcom/yanxin/ZuulApplication;;MI:184:org/springframework/boot/SpringApplication:run:(Ljava/lang/Object;[Ljava/lang/String;)Lorg/springframework/context/ConfigurableApplicationContext;;87;
DEBUG | 2019-06-19 17:24:19,803 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass1.DetectDuplicatedCodeClassVisitor | SIGNATURE:23:3:
DEBUG | 2019-06-19 17:24:19,804 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass1.DetectDuplicatedCodeClassVisitor | SIGNATURE:29:4:89;MI:183:org/springframework/cloud/netflix/zuul/filters/ZuulProperties:<init>:()V;176;
DEBUG | 2019-06-19 17:24:19,812 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | com/yanxin/ZuulApplication:0: Registering label (1) L1920387277
